,content,supportUkraine
0,"@KpsZSU @calxandr Nazi Ukraine your sins  at Donbas &amp; Buchha will be recorded in history 
#NaziUkraine",1
1,#UnitedStatesofindia #Russia #SovietUnion #indiarussia #Presidentputin #RussiaUkraineConflict #advisory #SatelliteTelevision #unauthentic #misleading #sensational #Privatechannels #newsHeadlines #newscoverage #IStandWithRussia all private satellite TV channels 🛰️📡📺👌🏿🙆🏿‍♂️ https://t.co/jeR9pYcMKr,1
2,#StandWithUkraine Today!,0
3,‘No-life zone (voor Ilya’s ouders)’. #RIPIlya #standwithukraine https://t.co/zV6isXhRi6,0
4,@MFA_Ukraine #StandWithUkraine from Latvia! Together we will achieve the future where everyone is free and safe! 🇱🇻❤🇺🇦,0
5,"The due shoots down a Jet, shakes hand and goes onto the next one...
#kyiv #ukraine #war #stopwar #stopputin #PutinWarCriminal #putin #UkraineWar #UkraineRussiaWar #StandWithUkraine

https://t.co/ursDykpfix",0
6,"Stand With Ukraine https://t.co/1lftwwFHR6
#StandWithUkraine
#PrayForUkraine
#DefeatPutin",0
7,@ZelenskyyUa I stand with Ukraine! 🇺🇦🇺🇸,0
8,@newscomauHQ Zelensky is a great actor. #IStandWithRussia,1
9,@MollyMcKew I gave $ to Save the Children organization. I stand with Ukraine. ✌🏻💕☀️,0
10,"@MFA_Ukraine @FCDOGovUK We' #Myanmar STAND WITH #Ukraine.  
FIGHT TO MOTHER F**KER #Russia.",0
11,"@ZelenskyyUa @naftalibennett We spaniards strongly support Ukraine and we want more weapons to be sent to the freedom fighters.
🇪🇦🇺🇦
#StandWithUkraine 
#StopWar",0
12,"🌻Bless the American civilians volunteering to join the Ukrainian resistance !

There is no higher calling. 

You are the best of us! 
🇺🇦 🇺🇸 

#StandWithUkraine #Ukraine️ #PutinWarCrimes 
#NBCNews @NBCNews",0
13,"Yes, so this. To see Ukraine triumph on golds on day 1 #WinterParalympics #StandWithUkraine https://t.co/QxWsyR5xHd",0
14,@spectatorindex i stand with Ukraine 🇺🇦,0
15,"UKRAINE CALLS ON FOREIGN CITIZENS TO JOIN ITS FIGHT FOR
PEACE AND DEMOCRACY IN EUROPE 
⁦@ZelenskyyUa⁩ #StandWithUkraine https://t.co/lWQ5YNWTjA",0
16,My Conservative colleagues and I #standwithUkraine against Russian aggression https://t.co/JX1RbQb2Uw,0
17,"Might I add #Putinphobia?
#IronDome #NoFlyZone 
#PutinWarCriminal #StopRussia #StopPutin #SanctionLukashenko
#SlavaUkraini #Ukraine #StandWithUkraine https://t.co/jUh5VdhyPm",0
18,"Metro Detroiters from Ukraine speak to @PaulaTutman @Local4News about their fears for relatives still overseas #StandWithUkraine #SayNOtoPutin #SayYEStoUkrain #UkraineMatters #UnitedForUkraine
 https://t.co/ROxHhTypJs",0
19,"People need to know that the world does not revolve around USA 🇺🇸 alone; There are countries that you don’t mess with, and Russia 🇷🇺 is one of them.
#IStandWithPutin #istandwithRussian
#istandwithRussian 
#RussianUkrainianWar #Russia #Russians #WeStandWithRussia #StandWithPutin https://t.co/Lt4aJ7LLn9",1
20,@FirstSquawk i would not want nato at my door.  #IStandWithPutin,1
21,"@DavidBailey1975 @lloydminz @ivan_8848 @OYasenevo If you love truth, please go to YouTube and search Professor John Mearsheimer, please listen to him. Then you will think twice. #IStandWithPutin",1
22,Where Putin’s ego was injured in 2014….. he is back for vengeance and his own sense of glory. #StandWithUkraine #PutinIsaWarCriminal https://t.co/wwKqTpu6TT,0
23,"America loves the nazis in Ukraine.
#AzovBattalion
#NaziUkraine https://t.co/2j3U1POCYF",1
24,@SteveDaines Apparently you don't stand with Ukraine and are dangerous to US National Security and the National Security of President Zelensky &amp; Ukrainian people! Reporting this to Twitter! Delete this and resign now you Traitor! https://t.co/1UyOa6HNX3,0
25,"Special showing of Mr Jones tomorrow at Chapter , Cardiff. Supporting  #StandWithUkraine 6:15
🏴󠁧󠁢󠁷󠁬󠁳󠁿🇺🇦🏴󠁧󠁢󠁷󠁬󠁳󠁿🇺🇦🏴󠁧󠁢󠁷󠁬󠁳󠁿🇺🇦 https://t.co/MuPdjf60HF",0
26,"🇷🇺🔥FSVNG employees and DPR fighters in the Popasnaya area.

#Popasnaya. #Kherson 
#russiatop ✊🇷🇺🆉 #Zaporozhye #nato #RussiaUkraineConflict #ZelenskyWarCriminal #terzaguerramondiale #NaziUkraine #odessa https://t.co/4eUZ0ozTvu",1
27,@SecBlinken @StateDept Yes we need to stand with Ukraine in a visible way. Convincing Germany to stop blocking military assistance from being sent from Estonia to Ukraine would be a good start.,0
28,For right wing people that were cheerleading Trump’s Russia love &amp; audacity with Zelenski but now question why Biden isn’t doing more to support Ukraine: we see you and you are the biggest hypocrites out there. Either you value democracy or you don’t. #StandWithUkraine,0
29,@joe_warmington @KremlinRussia_E Rather than #StandWithUkraine they should stand between Ukraine and Russian forces,0
30,"Belarusian volunteers who are now fighting for Ukraine call on real men to join them

 #ukraine #StandWithUkraine https://t.co/X2Inmam5TU",0
31,"@ASUS pushes the limits of imagination. Do you think Russia has any limits? Looters, rapists, murderers are scattered around Ukraine, performing acts of violence as you read this. Stop the crime! Help Ukrainian people to survive!#standwithukraine #stoprussianaggression #StopPutin https://t.co/gE8I04Zson",0
32,No country deserves to be invaded and stripped of their freedom. We stand with Ukraine and are calling for peace.🇺🇦 https://t.co/xzrrGzxLxB,0
33,"Ukraine fires missiles on its own people
Welcome: https://t.co/4EZi5bKZfQ
#NaziUkraine #AngelHernandez #SCHWARBER #90DayFiance #JaeCrowder #Barry #NoMuteSpace #Navalny #standwithputin https://t.co/W0ntYnvXxh",1
34,"Putin critic who left Russia now forced to flee Kyiv.
US basketball star arrested in Russia, facing up to 10 years in prison
Fox News
I Stand With UKRAINE   
  Order from here👇👇
https://t.co/yHQz2xsktw
#IStandWithUkraine https://t.co/H3aDN9Jqbs",0
35,We should all #StandWithUkraine,0
36,"@Shell
 Time to boycot them. 🤬 #StandWithUkraine

https://t.co/TjaL1hz0sx",0
37,"A #Russian V formation in an active urban frontline in #Mariupol. Near #Azovstal.
#war #Russia #Ukraine #RussiaUkraineWar #UkraineWar #nazi #NaziUkraine #Azov #AzovBattalion #NATO #USA https://t.co/0meZxWs0aj",1
38,@michaelsobolik @CUyghurs @antonioguterres Boycott #WinterOlympics2022 and #StandWithUkraine to avoid another Holodomor! 🇧🇷🇺🇦🙏🏻 https://t.co/nOCaafiXYu,0
39,@Levi_godman For the nazitwitter bosses you have to write well about their friends #NaziUkraine otherwise for them you are bad. https://t.co/MvFswdSSqI,1
40,We stand with Ukraine 🇺🇦 🇬🇪 https://t.co/66rQNWNDqa,0
41,"@BBC.
Then you know it's hate and propaganda.
#IStandWithRussia https://t.co/lPWMAmpt8I",1
42,Let's be hoping #NaziMcCain and his #NaziUkraine boy's are still holed up in #Mariupol like rats in the gutter https://t.co/Qj76L0a60G https://t.co/iaKL4QG7NH,1
43,"During 7 days of the war, Russia fired more than 400 missiles at Ukrainian cities. @Nato Help democracy to defend against aggressive autocrat - provide maximum military assistance to Ukraine: #StandWithUkraine  #StopPutinNOW #NoFlyZone #ClosetheSkyoverUkraine",0
44,@sohart_78 Yes. Stand with Ukraine 🇺🇦,0
45,"#StandWithUkraine 
https://t.co/3JHsLngAJX Is Now Playing - 
Journey - Don't Stop Belivin - Video:  https://t.co/N125Smg3rx",0
46,#StandWithUkraine lets standup with Ukraine.,0
47,"Mass-murderer #putin wants World War III.
#StandWithUkraine",0
48,"@Emmywandera @Gacheri_ss It is very sad ☹️ how the world 🗺 is seeing Putin as evil when he is so innocent 😇. NATO &amp; USA 🇺🇸 is the brain behind what is happening, it shows how weak they are to face Russia 🇷🇺, they’re now using poor Ukraine 🇺🇦 to fight their own battles. #IStandWithRussia  🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺",1
49,@10DowningStreet @Ukraine We MUST do more than stand with Ukraine 🇺🇦. Time to act #UkraineRussiaWar,0
50,"@Cern_lXXl Reported as targeted harassment and bullying! You are a typical Ukraine supporter show facts not insulting people That think for themselves and not being brainwashed. #IStandWithRussia 
Not your business what I do with my account. May you get 1000 times what you wish for me. https://t.co/fzjS7sETC7",1
51,I stand with Ukraine and demand that the tyrant Putin withdraw his forces immediately from Ukrainian land. https://t.co/C3vMrImZ6t,0
52,Two GOP senators share photos of Zelenskyy during call after being asked not to by Ukraine. #Putinpuppets should not be allowed on any further calls! #disgusting narcissists #standwithukraine  https://t.co/k3n9abUKjz,0
