country_code,country_name,region_id,Region Name,income_roup,income_group_name,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,1999,19000,28303
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2000,50000,72982
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2004,1000,1346
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2005,29270,38231
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2006,1000,1266
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2007,97937,120671
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2008,11138,13446
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2009,5258,6275
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2018,100000,103252
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2019,75000,75942
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,2,Obligations,2020,1296710,1296710
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2004,1000,1346
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2005,29270,38231
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2006,1000,1266
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2007,61577,75870
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2008,11138,13445
ABW,Aruba,6,Western Hemisphere,HIC,High Income Country,3,Disbursements,2009,5258,6275
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2006,1010780000,1263727837
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2007,1827785000,2224596336
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2008,1118106000,1333285982
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2009,2713193000,3198382444
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2010,4144868000,4844438321
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2011,13781695000,15792637251
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2012,3401639000,3825483221
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2013,7718829000,8523757948
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2014,6070245256,6576683829
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2015,10978130000,11758100001
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2016,4541138000,4821074104
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2017,852064000,888814745
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2018,701627000,715237241
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2019,476533000,476533000
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,1,Appropriated and Planned,2020,332300000,325867267
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1950,1000,8795
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1951,100000,835422
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1952,300000,2409639
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1953,2200000,17350157
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1954,2500000,19485581
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1955,2000000,15467904
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1956,18301000,138016591
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1957,21000000,152727273
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1958,14301000,100924487
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1959,27400000,190410006
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1960,10700000,73337903
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1961,32000000,216508796
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1962,40401000,270602814
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1963,18633000,123315685
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1964,42054000,274862746
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1965,34067000,218939589
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1966,33417000,210169811
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1967,32862000,200622712
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1968,16592000,97887906
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1969,15672000,88392556
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1970,8701000,46604178
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1971,13855000,70616718
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1972,35939000,174885644
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1973,38808000,180923077
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1974,14242000,61975631
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1975,21491000,84777121
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1976,8959000,33046846
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1976tq,4501000,16115288
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1977,21665000,74527003
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1978,11771000,37934258
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1979,10616000,31651759
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1985,3369000,7042224
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1986,8897000,18186836
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1987,2581000,5160968
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1988,28946000,56064304
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1989,57382000,106816828
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1990,15222050,27333543
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1991,20140068,34922955
AFG,Afghanistan,4,South and Central Asia,LIC,Low Income Country,2,Obligations,1992,31593344,53448390
